Illumina_Trusight_one_clinical_exome	SureSelect_Focussed_exome_RDE	Sure_select_all_exon_v5	Sure_select_all_exon_v6
BCHE	ATP5J	AHCYL1	AGRN
BCKDHA	ATP5J2-PTCD1	AHCYL2	AGRP
BCKDHB	ATP5O	AHDC1	AGT
BCL10	ATP5S	AHI1	AGTPBP1
BCL11A	ATP5SL	AHNAK	AGTR1
BCL2	ATP6AP2	AHNAK2	AGTR2
BCL2A1	ATP6V0A1	AHR	AGTRAP
BCL2L11	ATP6V0A2	AHRR	AGXT
BCL2L2	ATP6V0A4	AHSA1	AGXT2
BCL9	ATP6V1B1	AHSA2	AHCTF1
BCMO1	ATP6V1G2-DDX39B	AHSG	AHCTF1P1
BCOR	ATP7A	AHSP	AHCY
BCORL1	ATP7B	AICDA	AHCYL1
BCR	ATP8A2	AIDA	AHCYL2
BCS1L	ATP8B1	AIF1	AHDC1
BDKRB2	ATPAF2	AIF1L	AHI1
BDNF	ATR	AIFM1	AHNAK
BEAN1	ATRNL1	AIFM2	AHNAK2
BEST1	ATRX	AIFM3	AHR
BEX4	ATXN1	AIG1	AHRR
BFSP1	ATXN10	AIM1	AHSA1
BFSP2	ATXN2	AIM1L	AHSA2
BHLHA9	ATXN3	AIM2	AHSG
BHLHE41	ATXN3L	AIMP1	AHSP
BHMT	ATXN7	AIMP2	AICDA
BICC1	ATXN8OS	AIP	AIDA
BICD1	AUH	AIPL1	AIF1
BIN1	AURKA	AIRE	AIF1L
BIRC5	AURKC	AJAP1	AIFM1
BLK	AUTS2	AJUBA	AIFM2
BLM	AVP	AK1	AIFM3
BLMH	AVPR1A	AK2	AIG1
BLNK	AVPR1B	AK3	AIM1
BLOC1S3	AVPR2	AK4	AIM1L
BLOC1S6	AXDND1	AK5	AIM2
BLVRA	AXIN1	AK6	AIMP1
BMI1	AXIN2	AK7	AIMP2
BMP1	AXL	AK8	AIP
BMP10	B2M	AK9	AIPL1
BMP15	B3GALNT1	AKAP1	AIRE
BMP2	B3GALNT2	AKAP10	AJAP1
BMP2K	B3GALT6	AKAP11	AJUBA
BMP4	B3GALTL	AKAP12	AK1
BMP5	B3GAT3	AKAP13	AK2
BMP7	B3GNT1	AKAP14	AK3
BMPER	B3GNT2	AKAP17A	AK4
BMPR1A	B3GNT3	AKAP2	AK5
BMPR1B	B4GALNT1	AKAP3	AK6
BMPR2	B4GALT1	AKAP4	AK7
BNC2	B4GALT1-AS1	AKAP5	AK8
BOLA3	B4GALT7	AKAP6	AK9
BPGM	B9D1	AKAP7	AKAP1
BPI	B9D2	AKAP8	AKAP10
BPIFA1	BAALC	AKAP8L	AKAP11
BPY2	BAAT	AKAP9	AKAP12
BRAF	BACE1	AKIP1	AKAP13
BRAP	BACE1-AS	AKIRIN1	AKAP14
BRAT1	BAG3	AKIRIN2	AKAP17A
BRCA1	BAG6	AKNA	AKAP2
BRCA2	BANF1	AKNAD1	AKAP3
BRCC3	BANK1	AKR1A1	AKAP4
BRD1	BAP1	AKR1B1	AKAP5
BRIP1	BARD1	AKR1B10	AKAP6
BRSK2	BAX	AKR1B15	AKAP7
BRWD1	BBIP1	AKR1C1	AKAP8
BRWD3	BBS1	AKR1C2	AKAP8L
BSCL2	BBS10	AKR1C3	AKAP9
BSG	BBS12	AKR1C4	AKIP1
BSND	BBS2	AKR1CL1	AKIRIN1
